Job,Machine,Move,Start,Finish
0,0,0.00,0.50,13.00
0,1,13.00,13.50,39.00
0,2,39.00,39.50,60.00
0,3,60.00,60.50,80.00
0,4,80.00,80.50,99.00
0,5,99.00,99.50,99.00
0,6,99.00,99.50,179.00
1,0,13.00,13.50,27.00
1,1,39.00,39.50,50.00
1,2,60.00,60.50,81.00
1,3,81.00,81.50,98.00
1,4,99.00,99.50,128.00
1,5,128.00,128.50,128.00
1,7,128.00,128.50,215.00
2,0,39.00,39.50,58.00
2,1,60.00,60.50,76.00
2,2,81.00,81.50,96.00
2,3,99.00,99.50,126.00
2,4,128.00,128.50,138.00
2,5,138.00,138.50,138.00
2,8,138.00,138.50,230.00
3,0,60.00,60.50,81.00
3,1,81.00,81.50,107.00
3,2,107.00,107.50,120.00
3,3,128.00,128.50,148.00
3,4,148.00,148.50,174.00
3,5,174.00,174.50,179.00
3,6,179.00,179.50,266.00
4,0,81.00,81.50,94.00
4,1,107.00,107.50,135.00
4,2,135.00,135.50,161.00
4,3,161.00,161.50,175.00
4,4,175.00,175.50,194.00
4,5,194.00,194.50,215.00
4,7,215.00,215.50,298.00
5,0,107.00,107.50,120.00
5,1,135.00,135.50,146.00
5,2,161.00,161.50,175.00
5,3,175.00,175.50,201.00
5,4,201.00,201.50,211.00
5,5,211.00,211.50,230.00
5,8,230.00,230.50,325.00
6,0,135.00,135.50,148.00
6,1,161.00,161.50,184.00
6,2,184.00,184.50,208.00
6,3,208.00,208.50,224.00
6,4,224.00,224.50,234.00
6,5,234.00,234.50,266.00
6,6,266.00,266.50,354.00
7,0,161.00,161.50,183.00
7,1,184.00,184.50,194.00
7,2,208.00,208.50,225.00
7,3,225.00,225.50,251.00
7,4,251.00,251.50,279.00
7,5,279.00,279.50,298.00
7,7,298.00,298.50,390.00
8,0,184.00,184.50,199.00
8,1,208.00,208.50,226.00
8,2,226.00,226.50,245.00
8,3,251.00,251.50,278.00
8,4,279.00,279.50,292.00
8,5,292.00,292.50,325.00
8,8,325.00,325.50,412.00
9,0,208.00,208.50,229.00
9,1,229.00,229.50,254.00
9,2,254.00,254.50,275.00
9,3,279.00,279.50,295.00
9,4,295.00,295.50,315.00
9,5,315.00,315.50,354.00
9,6,354.00,354.50,434.00
