Job,Machine,Move,Start,Finish
0,0,0,0.5,5
0,1,5,5.5,11
0,2,11,11.5,18
0,3,18,18.5,24
0,4,24,24.5,31
0,5,31,31.5,31
0,6,31,31.5,64
1,0,5,5.5,10
1,1,11,11.5,20
1,2,20,20.5,28
1,3,28,28.5,33
1,4,33,33.5,40
1,5,40,40.5,40
1,7,40,40.5,70
2,0,11,10.5,17
2,1,20,20.5,25
2,2,28,28.5,37
2,3,37,37.5,42
2,4,42,42.5,50
2,5,50,50.5,50
2,8,50,50.5,83
3,0,20,17.5,22
3,1,28,25.5,33
3,2,37,37.5,43
3,3,43,43.5,52
3,4,52,52.5,60
3,5,60,60.5,64
3,6,64,64.5,99
4,0,28,22.5,31
4,1,37,33.5,42
4,2,43,43.5,52
4,3,52,52.5,59
4,4,60,60.5,65
4,5,65,65.5,70
4,7,70,70.5,103
5,0,37,31.5,38
5,1,43,42.5,51
5,2,52,52.5,58
5,3,60,59.5,67
5,4,67,67.5,74
5,5,74,74.5,83
5,8,83,83.5,121
6,0,43,38.5,46
6,1,52,51.5,59
6,2,60,59.5,65
6,3,67,67.5,72
6,4,74,74.5,80
6,5,83,80.5,99
6,6,99,99.5,131
7,0,52,46.5,55
7,1,59,59.5,67
7,2,67,67.5,72
7,3,74,72.5,80
7,4,83,80.5,87
7,5,99,87.5,103
7,7,103,103.5,141
8,0,59,55.5,64
8,1,67,67.5,73
8,2,74,73.5,81
8,3,83,81.5,86
8,4,99,87.5,103
8,5,103,96.5,121
8,8,121,121.5,159
9,0,67,64.5,70
9,1,74,73.5,78
9,2,83,81.5,88
9,3,99,88.5,102
9,4,103,96.5,109
9,5,121,104.5,131
9,6,131,131.5,162
