Job,Machine,Created,Move,Setup,Start,Finish,JobSetup,MachineSetup,tardiness
0,0,0.00,0.00,0.50,6.00,25.47,4,0,0.00
1,1,0.50,0.50,1.00,2.50,17.89,0,0,0.00
2,2,1.40,1.40,1.90,5.40,16.98,2,0,0.00
3,3,5.61,5.61,6.11,10.61,24.16,3,0,0.31
4,4,10.54,10.54,11.04,16.54,32.45,4,0,0.49
5,3,13.31,42.58,43.08,44.58,63.15,5,5,24.84
6,1,13.51,17.89,18.39,19.89,37.00,0,0,0.46
7,3,13.63,103.96,104.46,105.96,123.40,1,1,86.30
8,2,13.68,16.98,17.48,19.98,30.53,3,2,2.64
9,0,15.59,25.47,25.97,28.47,44.41,5,4,7.37
10,3,18.62,24.16,24.66,28.16,42.58,5,3,4.55
11,1,22.86,65.28,65.78,67.28,80.24,0,0,39.94
12,1,25.75,37.00,37.50,39.00,50.74,0,0,9.18
13,2,27.59,30.53,31.03,33.53,45.54,4,3,1.78
14,4,30.54,32.45,32.95,35.45,49.33,5,4,0.11
15,3,33.03,84.80,85.30,86.80,103.96,1,1,47.83
16,0,35.72,59.57,60.07,63.57,77.53,1,3,23.02
17,1,37.64,50.74,51.24,52.74,65.28,0,0,10.76
18,0,40.74,44.41,44.91,48.41,59.57,3,5,3.81
19,2,41.26,45.54,46.04,47.54,62.63,4,4,1.05
20,3,43.06,63.15,63.65,69.15,84.80,1,5,20.67
21,4,46.18,49.33,49.83,53.33,64.38,3,5,3.32
22,2,61.49,62.63,63.13,66.63,77.85,2,4,1.26
23,4,64.37,64.38,64.88,66.38,82.91,3,3,0.00
24,4,64.77,82.91,83.41,84.91,100.48,3,3,14.75
25,2,65.35,77.85,78.35,79.85,96.92,2,2,8.59
26,1,68.53,80.24,80.74,82.24,97.78,0,0,8.34
27,1,70.17,351.77,352.27,354.77,374.38,4,5,277.81
28,0,74.29,77.53,78.03,79.53,92.63,1,1,0.70
29,4,76.19,136.79,137.29,138.79,157.46,4,4,56.14
30,1,84.40,97.78,98.28,99.78,110.78,0,0,11.58
31,0,86.11,92.63,93.13,94.63,105.82,1,1,4.64
32,1,89.53,110.78,111.28,112.78,127.13,0,0,18.29
33,4,90.72,337.95,338.45,339.95,357.17,5,5,243.27
34,0,92.02,105.82,106.32,107.82,127.57,1,1,8.96
35,4,92.44,100.48,100.98,103.48,116.69,4,3,6.46
36,2,95.31,96.92,97.42,99.92,111.93,3,2,0.45
37,4,96.74,116.69,117.19,118.69,136.79,4,4,15.68
38,1,98.98,127.13,127.63,129.13,145.39,0,0,24.52
39,2,101.35,111.93,112.43,113.93,131.87,3,3,6.38
40,3,110.63,123.40,123.90,126.40,142.32,2,1,10.25
41,3,111.28,157.05,157.55,159.05,175.53,2,2,42.06
42,2,114.53,131.87,132.37,133.87,151.40,3,3,13.26
43,0,126.05,127.57,128.07,129.57,143.47,1,1,0.00
44,1,130.51,314.85,315.35,320.85,333.18,5,1,186.07
45,0,131.20,325.73,326.23,327.73,343.59,5,5,191.04
46,0,132.73,143.47,143.97,145.47,159.82,1,1,7.77
47,0,133.64,242.32,242.82,244.32,263.39,0,0,104.08
48,3,134.58,221.13,221.63,223.13,241.48,1,1,82.20
49,1,135.18,145.39,145.89,147.39,162.14,0,0,7.11
50,3,141.58,142.32,142.82,144.32,157.05,2,2,0.00
51,4,141.77,157.46,157.96,159.46,174.31,4,4,12.55
52,1,142.24,162.14,162.64,164.14,179.95,0,0,16.43
53,0,145.27,159.82,160.32,161.82,179.53,1,1,10.42
54,2,146.54,151.40,151.90,153.40,170.15,3,3,1.07
55,2,146.74,170.15,170.65,173.15,188.29,4,3,21.18
56,3,164.47,175.53,176.03,178.53,190.75,1,2,9.83
57,3,169.25,338.12,338.62,340.12,358.07,5,5,164.66
58,4,173.01,174.31,174.81,176.31,188.55,4,4,0.00
59,1,175.08,192.66,193.16,194.66,211.85,0,0,13.63
60,0,175.23,179.53,180.03,181.53,195.87,1,1,1.34
61,0,175.77,263.39,263.89,265.39,284.72,0,0,82.93
62,1,177.03,179.95,180.45,181.95,192.66,0,0,1.22
63,4,177.57,188.55,189.05,191.55,202.66,3,4,10.13
64,2,178.72,188.29,188.79,191.29,201.59,3,4,9.00
65,2,179.04,201.59,202.09,203.59,219.57,3,3,19.02
66,2,180.51,219.57,220.07,221.57,241.01,3,3,34.33
67,3,181.95,204.03,204.53,206.03,221.13,1,1,18.86
68,3,183.92,190.75,191.25,192.75,204.03,1,1,4.92
69,0,184.16,343.59,344.09,345.59,364.60,5,5,154.85
70,4,184.77,245.77,246.27,248.77,263.70,2,3,58.83
71,2,187.10,297.72,298.22,300.72,317.09,4,3,107.95
72,0,192.99,195.87,196.37,197.87,209.17,1,1,0.96
73,4,194.01,202.66,203.16,204.66,223.91,3,3,3.99
74,1,198.53,211.85,212.35,213.85,225.56,0,0,11.27
75,1,200.18,225.56,226.06,227.56,245.88,0,0,21.03
76,0,205.60,222.76,223.26,224.76,242.32,0,0,13.07
77,4,206.10,223.91,224.41,225.91,245.77,3,3,12.93
78,0,206.12,209.17,209.67,212.17,222.76,0,1,2.39
79,4,215.47,305.05,305.55,310.05,321.41,5,2,90.65
80,0,218.20,306.69,307.19,313.69,325.73,5,0,91.32
81,3,219.06,241.48,241.98,244.48,259.19,2,1,20.32
82,2,219.27,317.09,317.59,319.09,336.25,4,4,93.88
83,1,219.59,273.11,273.61,275.11,294.49,0,0,48.81
84,3,222.93,276.39,276.89,278.39,297.50,2,2,48.85
85,2,232.20,241.01,241.51,243.01,258.53,3,3,5.43
86,2,233.27,336.25,336.75,338.25,357.12,4,4,98.45
87,4,234.89,321.41,321.91,323.41,337.95,5,5,83.49
88,4,240.80,263.70,264.20,265.70,283.92,2,2,18.59
89,0,240.86,284.72,285.22,286.72,306.69,0,0,38.95
90,1,243.70,245.88,246.38,247.88,260.36,0,0,0.00
91,4,246.92,283.92,284.42,285.92,305.05,2,2,32.38
92,2,250.09,258.53,259.03,260.53,277.17,3,3,4.67
93,3,250.71,297.50,298.00,300.50,318.62,1,2,43.52
94,1,256.06,294.49,294.99,297.49,314.85,1,0,35.42
95,3,256.07,259.19,259.69,261.19,276.39,2,2,0.00
96,1,257.58,333.18,333.68,335.18,351.77,5,5,71.86
97,1,258.64,260.36,260.86,262.36,273.11,0,0,0.00
98,2,264.48,277.17,277.67,279.17,297.72,3,3,8.27
99,3,267.91,318.62,319.12,324.62,338.12,5,1,52.04
