Job,Machine,Created,Move,Setup,Start,Finish,JobSetup,MachineSetup,tardiness
0,0,0.00,0.00,0.50,6.00,25.47,4,0,0.00
1,1,0.50,0.50,1.00,2.50,17.89,0,0,0.00
2,2,1.40,1.40,1.90,5.40,16.98,2,0,0.00
3,3,5.61,5.61,6.11,10.61,24.16,3,0,0.31
4,4,10.54,10.54,11.04,16.54,32.45,4,0,0.49
5,3,13.31,311.98,312.48,317.98,336.55,5,1,298.24
6,0,13.51,58.76,59.26,65.76,82.87,0,5,46.33
7,0,13.63,122.29,122.79,125.29,142.72,1,0,105.62
8,2,13.68,16.98,17.48,19.98,30.53,3,2,2.64
9,1,15.59,17.89,18.39,24.89,40.83,5,0,3.79
10,0,18.62,25.47,25.97,28.47,42.89,5,4,4.86
11,3,22.86,24.16,24.66,29.16,42.12,0,3,1.82
12,2,25.75,30.53,31.03,35.53,47.27,0,3,5.71
13,4,27.59,32.45,32.95,34.45,46.46,4,4,2.70
14,0,30.54,42.89,43.39,44.89,58.76,5,5,9.55
15,4,33.03,60.52,61.02,64.52,81.68,1,3,25.55
16,2,35.72,47.27,47.77,50.27,64.23,1,0,9.72
17,3,37.64,42.12,42.62,44.12,56.66,0,0,2.14
18,1,40.74,40.83,41.33,44.83,55.99,3,5,0.23
19,1,41.26,55.99,56.49,58.99,74.08,4,3,12.50
20,3,43.06,56.66,57.16,59.66,75.32,1,0,11.18
21,4,46.18,46.46,46.96,49.46,60.52,3,4,0.00
22,2,61.49,64.23,64.73,67.23,78.45,2,1,1.86
23,4,64.37,81.68,82.18,85.68,102.20,3,1,15.59
24,2,64.77,78.45,78.95,81.45,97.02,3,2,11.29
25,0,65.35,82.87,83.37,86.87,103.94,2,0,15.61
26,1,68.53,74.08,74.58,80.08,95.62,0,4,6.18
27,3,70.17,360.68,361.18,364.68,384.29,4,2,287.73
28,3,74.29,75.32,75.82,77.32,90.41,1,1,0.00
29,4,76.19,313.60,314.10,317.60,336.27,4,2,234.95
30,3,84.40,90.41,90.91,93.41,104.42,0,1,5.21
31,1,86.11,95.62,96.12,98.62,109.82,1,0,8.63
32,0,89.53,103.94,104.44,107.94,122.29,0,2,13.44
33,1,90.72,109.82,110.32,115.82,133.04,5,1,19.14
34,2,92.02,364.02,364.52,368.02,387.78,1,3,269.16
35,4,92.44,102.20,102.70,105.20,118.42,4,3,8.19
36,2,95.31,97.02,97.52,99.02,111.03,3,3,0.00
37,0,96.74,285.32,285.82,289.32,307.42,4,2,186.32
38,3,98.98,104.42,104.92,106.42,122.68,0,0,1.80
39,2,101.35,252.29,252.79,256.29,274.22,3,5,148.73
40,2,110.63,111.03,111.53,114.03,129.95,2,3,0.00
41,4,111.28,118.42,118.92,122.42,138.90,2,4,5.43
42,3,114.53,122.68,123.18,127.68,145.21,3,0,7.07
43,2,126.05,129.95,130.45,132.95,146.84,1,2,2.09
44,1,130.51,133.04,133.54,135.04,147.37,5,5,0.26
45,0,131.20,158.45,158.95,163.45,179.31,5,2,26.76
46,4,132.73,138.90,139.40,141.90,156.25,1,2,4.20
47,0,133.64,328.97,329.47,333.97,353.05,0,3,193.73
48,1,134.58,302.52,303.02,308.52,326.86,1,5,167.58
49,3,135.18,145.21,145.71,150.21,164.96,0,3,9.93
50,0,141.58,142.72,143.22,145.72,158.45,2,1,0.00
51,2,141.77,146.84,147.34,151.84,166.69,4,1,4.93
52,4,142.24,156.25,156.75,159.25,175.06,0,1,11.54
53,2,145.27,166.69,167.19,171.69,189.40,1,4,20.29
54,1,146.54,165.50,166.00,168.50,185.26,3,4,16.17
55,1,146.74,147.37,147.87,150.37,165.50,4,5,0.00
56,3,164.47,164.96,165.46,167.96,180.18,1,0,0.00
57,1,169.25,277.57,278.07,284.57,302.52,5,0,109.11
58,4,173.01,175.06,175.56,181.06,193.30,4,0,3.81
59,1,175.08,217.47,217.97,220.47,237.66,0,1,39.44
60,0,175.23,193.61,194.11,197.61,211.94,1,3,17.41
61,1,175.77,351.87,352.37,358.87,378.21,0,5,176.41
62,3,177.03,180.18,180.68,183.18,193.89,0,1,2.45
63,1,177.57,185.26,185.76,187.26,198.37,3,3,5.84
64,0,178.72,179.31,179.81,183.31,193.61,3,5,1.02
65,0,179.04,211.94,212.44,215.94,231.93,3,1,31.38
66,4,180.51,359.38,359.88,362.38,381.82,3,2,175.14
67,1,181.95,198.37,198.87,202.37,217.47,1,3,15.19
68,2,183.92,189.40,189.90,191.40,202.68,1,1,3.58
69,1,184.16,326.86,327.36,332.86,351.87,5,1,142.12
70,3,184.77,193.89,194.39,197.89,212.83,2,0,7.96
71,3,187.10,212.83,213.33,216.83,233.20,4,2,24.06
72,4,192.99,193.30,193.80,198.30,209.60,1,4,1.39
73,2,194.01,341.77,342.27,344.77,364.02,3,4,144.10
74,2,198.53,202.68,203.18,205.68,217.39,0,1,3.10
75,2,200.18,295.58,296.08,298.58,316.90,0,1,92.06
76,4,205.60,242.23,242.73,249.23,266.79,0,5,37.55
77,0,206.10,374.43,374.93,379.43,399.28,3,0,166.45
78,4,206.12,209.60,210.10,212.60,223.18,0,1,2.82
79,2,215.47,217.39,217.89,224.39,235.74,5,0,4.99
80,4,218.20,223.18,223.68,230.18,242.23,5,0,7.82
81,0,219.06,231.93,232.43,234.93,249.64,2,3,10.77
82,1,219.27,237.66,238.16,243.66,260.82,4,0,18.45
83,0,219.59,353.05,353.55,355.05,374.43,0,0,128.74
84,4,222.93,336.27,336.77,340.27,359.38,2,4,110.73
85,3,232.20,233.20,233.70,236.20,251.72,3,4,0.00
86,2,233.27,316.90,317.40,322.90,341.77,4,0,83.10
87,2,234.89,235.74,236.24,237.74,252.29,5,5,0.00
88,4,240.80,290.38,290.88,295.38,313.60,2,5,48.27
89,1,240.86,378.21,378.71,380.21,400.17,0,0,132.43
90,0,243.70,249.64,250.14,253.64,266.12,0,2,5.62
91,3,246.92,336.55,337.05,341.55,360.68,2,5,88.01
92,3,250.09,251.72,252.22,253.72,270.36,3,3,0.00
93,3,250.71,287.87,288.37,293.87,311.98,1,5,36.89
94,2,256.06,274.22,274.72,278.22,295.58,1,3,16.15
95,0,256.07,266.12,266.62,270.12,285.32,2,0,8.78
96,4,257.58,266.79,267.29,273.79,290.38,5,0,10.47
97,1,258.64,260.82,261.32,266.82,277.57,0,4,4.46
98,0,264.48,307.42,307.92,310.42,328.97,3,4,39.52
99,3,267.91,270.36,270.86,274.36,287.87,5,3,1.78
