Job,Machine,Created,Move,Setup,Start,Finish,JobSetup,MachineSetup,tardiness
0,0,0.00,0.00,0.50,6.00,25.47,4,0,0.00
1,1,0.50,0.50,1.00,2.50,17.89,0,0,0.00
2,2,1.40,1.40,1.90,5.40,16.98,2,0,0.00
3,3,5.61,5.61,6.11,10.61,24.16,3,0,0.31
4,4,10.54,10.54,11.04,16.54,32.45,4,0,0.49
5,2,13.31,316.81,317.31,322.81,341.38,5,1,303.07
6,1,13.51,17.89,18.39,19.89,37.00,0,0,0.46
7,2,13.63,123.87,124.37,126.87,144.30,1,2,107.20
8,2,13.68,16.98,17.48,19.98,30.53,3,2,2.64
9,2,15.59,63.33,63.83,67.33,83.27,5,3,46.23
10,3,18.62,24.16,24.66,28.16,42.58,5,3,4.55
11,0,22.86,25.47,25.97,31.47,44.43,0,4,4.13
12,2,25.75,30.53,31.03,35.53,47.27,0,3,5.71
13,4,27.59,32.45,32.95,34.45,46.46,4,4,2.70
14,1,30.54,37.00,37.50,44.00,57.87,5,0,8.66
15,4,33.03,65.42,65.92,67.42,84.58,1,1,28.45
16,4,35.72,46.46,46.96,51.46,65.42,1,4,10.91
17,3,37.64,42.58,43.08,49.58,62.12,0,5,7.59
18,0,40.74,44.43,44.93,49.43,60.59,3,0,4.83
19,1,41.26,57.87,58.37,60.87,75.96,4,5,14.38
20,0,43.06,60.59,61.09,64.59,80.24,1,3,16.11
21,2,46.18,47.27,47.77,52.27,63.33,3,0,2.27
22,3,61.49,62.12,62.62,66.12,77.34,2,0,0.75
23,2,64.37,83.27,83.77,87.27,103.80,3,5,17.18
24,0,64.77,80.24,80.74,84.24,99.81,3,1,14.09
25,2,65.35,103.80,104.30,106.80,123.87,2,3,35.54
26,1,68.53,75.96,76.46,81.96,97.50,0,4,8.06
27,2,70.17,365.51,366.01,369.51,389.12,4,2,292.56
28,3,74.29,77.34,77.84,80.34,93.44,1,2,1.51
29,1,76.19,318.43,318.93,322.43,341.10,4,2,239.78
30,4,84.40,84.58,85.08,87.58,98.58,0,1,0.00
31,3,86.11,93.44,93.94,95.44,106.63,1,1,5.45
32,0,89.53,99.81,100.31,104.81,119.16,0,3,10.32
33,0,90.72,119.16,119.66,126.16,143.38,5,0,29.48
34,3,92.02,370.64,371.14,374.64,394.40,1,3,275.78
35,1,92.44,97.50,98.00,103.50,116.71,4,0,6.48
36,4,95.31,98.58,99.08,103.58,115.59,3,0,4.11
37,0,96.74,291.43,291.93,294.43,312.53,4,5,191.42
38,3,98.98,106.63,107.13,109.63,125.89,0,1,5.02
39,3,101.35,278.27,278.77,282.27,300.20,3,1,174.71
40,4,110.63,115.59,116.09,118.59,134.51,2,3,2.45
41,1,111.28,116.71,117.21,120.71,137.20,2,4,3.73
42,3,114.53,125.89,126.39,130.89,148.43,3,0,10.29
43,1,126.05,137.20,137.70,140.20,154.09,1,2,9.34
44,4,130.51,134.51,135.01,139.51,151.85,5,2,4.73
45,0,131.20,163.73,164.23,169.73,185.59,5,1,33.04
46,0,132.73,143.38,143.88,149.38,163.73,1,5,11.68
47,0,133.64,334.08,334.58,339.08,358.15,0,3,198.83
48,4,134.58,307.13,307.63,313.13,331.48,1,5,172.20
49,3,135.18,148.43,148.93,153.43,168.18,0,3,13.14
50,2,141.58,144.30,144.80,147.30,160.03,2,1,1.31
51,4,141.77,151.85,152.35,154.85,169.70,4,5,7.93
52,2,142.24,160.03,160.53,164.03,179.84,0,2,16.32
53,3,145.27,257.56,258.06,260.56,278.27,1,0,109.16
54,4,146.54,169.70,170.20,172.70,189.45,3,4,20.36
55,1,146.74,154.09,154.59,159.09,174.22,4,1,7.11
56,3,164.47,168.18,168.68,171.18,183.39,1,0,2.48
57,4,169.25,284.19,284.69,289.19,307.13,5,2,113.72
58,1,173.01,174.22,174.72,176.22,188.46,4,4,0.00
59,3,175.08,234.37,234.87,240.37,257.56,0,4,59.34
60,4,175.23,189.45,189.95,193.45,207.79,1,3,13.26
61,4,175.77,356.49,356.99,363.49,382.82,0,5,181.03
62,2,177.03,179.84,180.34,181.84,192.55,0,0,1.10
63,0,177.57,185.59,186.09,189.59,200.70,3,5,8.17
64,3,178.72,183.39,183.89,187.39,197.69,3,1,5.11
65,2,179.04,211.49,211.99,214.49,230.47,3,2,29.92
66,1,180.51,364.21,364.71,367.21,386.65,3,2,179.97
67,1,181.95,204.74,205.24,206.74,221.85,1,1,19.57
68,1,183.92,188.46,188.96,193.46,204.74,1,4,5.64
69,4,184.16,331.48,331.98,337.48,356.49,5,1,146.73
70,2,184.77,192.55,193.05,196.55,211.49,2,0,6.61
71,3,187.10,213.00,213.50,218.00,234.37,4,1,25.23
72,3,192.99,197.69,198.19,201.69,213.00,1,3,4.79
73,3,194.01,348.40,348.90,351.40,370.64,3,4,150.72
74,0,198.53,200.70,201.20,205.70,217.40,0,3,3.12
75,3,200.18,300.20,300.70,305.20,323.53,0,3,98.68
76,4,205.60,240.42,240.92,247.42,264.98,0,5,35.74
77,0,206.10,379.53,380.03,384.53,404.39,3,0,171.55
78,4,206.12,207.79,208.29,210.79,221.37,0,1,1.00
79,0,215.47,217.40,217.90,224.40,235.76,5,0,5.00
80,4,218.20,221.37,221.87,228.37,240.42,5,0,6.00
81,1,219.06,221.85,222.35,224.85,239.56,2,1,0.69
82,2,219.27,230.47,230.97,233.47,250.63,4,3,8.26
83,0,219.59,358.15,358.65,360.15,379.53,0,0,133.85
84,1,222.93,341.10,341.60,345.10,364.21,2,4,115.56
85,0,232.20,235.76,236.26,239.76,255.28,3,5,2.19
86,3,233.27,323.53,324.03,329.53,348.40,4,0,89.73
87,1,234.89,239.56,240.06,244.56,259.10,5,2,4.64
88,1,240.80,297.21,297.71,300.21,318.43,2,1,53.10
89,4,240.86,382.82,383.32,384.82,404.79,0,0,137.05
90,2,243.70,250.63,251.13,256.63,269.11,0,4,8.60
91,2,246.92,341.38,341.88,346.38,365.51,2,5,92.84
92,0,250.09,255.28,255.78,257.28,273.92,3,3,1.43
93,2,250.71,292.69,293.19,298.69,316.81,1,5,41.72
94,1,256.06,276.85,277.35,279.85,297.21,1,0,17.78
95,4,256.07,264.98,265.48,268.98,284.19,2,0,7.65
96,2,257.58,269.11,269.61,276.11,292.69,5,0,12.79
97,1,258.64,259.10,259.60,266.10,276.85,0,5,3.75
98,0,264.48,312.53,313.03,315.53,334.08,3,4,44.63
99,0,267.91,273.92,274.42,277.92,291.43,5,3,5.34
