Job,Machine,Created,Move,Setup,Start,Finish,JobSetup,MachineSetup,tardiness
0,0,0.00,0.00,0.50,6.00,25.47,4,0,0.00
1,1,0.50,0.50,1.00,2.50,17.89,0,0,0.00
2,2,1.40,1.40,1.90,5.40,16.98,2,0,0.00
3,3,5.61,5.61,6.11,10.61,24.16,3,0,0.31
4,4,10.54,10.54,11.04,16.54,32.45,4,0,0.49
5,4,13.31,49.33,49.83,51.33,69.90,5,5,31.59
6,1,13.51,17.89,18.39,19.89,37.00,0,0,0.46
7,3,13.63,90.41,90.91,92.41,109.85,1,1,72.75
8,2,13.68,16.98,17.48,19.98,30.53,3,2,2.64
9,0,15.59,42.89,43.39,44.89,60.83,5,5,23.79
10,0,18.62,25.47,25.97,28.47,42.89,5,4,4.86
11,3,22.86,24.16,24.66,29.16,42.12,0,3,1.82
12,1,25.75,37.00,37.50,39.00,50.74,0,0,9.18
13,2,27.59,30.53,31.03,33.53,45.54,4,3,1.78
14,4,30.54,32.45,32.95,35.45,49.33,5,4,0.11
15,1,33.03,67.70,68.20,69.70,86.86,1,1,30.72
16,1,35.72,50.74,51.24,53.74,67.70,1,0,13.18
17,3,37.64,42.12,42.62,44.12,56.66,0,0,2.14
18,2,40.74,62.63,63.13,65.63,76.79,3,4,21.03
19,2,41.26,45.54,46.04,47.54,62.63,4,4,1.05
20,3,43.06,56.66,57.16,59.66,75.32,1,0,11.18
21,0,46.18,60.83,61.33,64.83,75.89,3,5,14.83
22,4,61.49,69.90,70.40,74.90,86.11,2,5,9.53
23,2,64.37,76.79,77.29,78.79,95.31,3,3,8.70
24,0,64.77,75.89,76.39,77.89,93.46,3,3,7.73
25,2,65.35,167.55,168.05,170.55,187.62,2,3,99.29
26,3,68.53,109.85,110.35,112.85,128.39,0,1,38.94
27,0,70.17,336.31,336.81,338.31,357.92,4,4,261.36
28,3,74.29,75.32,75.82,77.32,90.41,1,1,0.00
29,0,76.19,129.77,130.27,131.77,150.44,4,4,49.12
30,4,84.40,86.11,86.61,90.11,101.11,0,2,1.91
31,1,86.11,86.86,87.36,88.86,100.05,1,1,0.00
32,4,89.53,101.11,101.61,103.11,117.46,0,0,8.62
33,3,90.72,285.19,285.69,287.19,304.41,5,5,190.51
34,1,92.02,100.05,100.55,102.05,121.81,1,1,3.19
35,0,92.44,93.46,93.96,96.46,109.67,4,3,0.00
36,2,95.31,95.31,95.81,97.31,109.33,3,3,0.00
37,0,96.74,109.67,110.17,111.67,129.77,4,4,8.67
38,4,98.98,117.46,117.96,119.46,135.73,0,0,14.85
39,2,101.35,109.33,109.83,111.33,129.26,3,3,3.77
40,1,110.63,121.81,122.31,124.81,140.72,2,1,8.66
41,1,111.28,140.72,141.22,142.72,159.21,2,2,25.74
42,2,114.53,129.26,129.76,131.26,148.80,3,3,10.66
43,3,126.05,128.39,128.89,131.39,145.28,1,0,0.53
44,0,130.51,245.43,245.93,247.43,259.77,5,5,112.65
45,0,131.20,259.77,260.27,261.77,277.62,5,5,125.08
46,3,132.73,145.28,145.78,147.28,161.63,1,1,9.58
47,1,133.64,261.69,262.19,263.69,282.76,0,0,123.44
48,1,134.58,173.94,174.44,176.94,195.28,1,2,36.01
49,4,135.18,135.73,136.23,137.73,152.48,0,0,0.00
50,1,141.58,159.21,159.71,161.21,173.94,2,2,15.22
51,0,141.77,150.44,150.94,152.44,167.29,4,4,5.53
52,4,142.24,152.48,152.98,154.48,170.28,0,0,6.76
53,3,145.27,161.63,162.13,163.63,181.34,1,1,12.23
54,2,146.54,148.80,149.30,150.80,167.55,3,3,0.00
55,0,146.74,167.29,167.79,169.29,184.42,4,4,17.31
56,4,164.47,170.28,170.78,173.28,185.50,1,0,4.58
57,0,169.25,296.21,296.71,298.21,316.15,5,5,122.74
58,0,173.01,184.42,184.92,186.42,198.66,4,4,9.17
59,1,175.08,222.17,222.67,224.17,241.36,0,0,43.14
60,3,175.23,181.34,181.84,183.34,197.68,1,1,3.15
61,4,175.77,272.99,273.49,274.99,294.33,0,0,92.53
62,4,177.03,198.78,199.28,201.78,212.49,0,1,21.05
63,3,177.57,214.78,215.28,218.78,229.89,3,1,37.36
64,2,178.72,204.55,205.05,207.55,217.85,3,2,25.27
65,2,179.04,217.85,218.35,219.85,235.84,3,3,35.29
66,2,180.51,292.55,293.05,294.55,313.99,3,3,107.31
67,3,181.95,197.68,198.18,199.68,214.78,1,1,12.50
68,4,183.92,185.50,186.00,187.50,198.78,1,1,0.00
69,3,184.16,304.41,304.91,306.41,325.42,5,5,115.67
70,2,184.77,187.62,188.12,189.62,204.55,2,2,0.00
71,0,187.10,198.66,199.16,200.66,217.03,4,4,7.90
72,1,192.99,195.28,195.78,197.28,208.59,1,1,0.38
73,3,194.01,229.89,230.39,231.89,251.14,3,3,31.22
74,4,198.53,212.49,212.99,214.49,226.20,0,0,11.91
75,1,200.18,241.36,241.86,243.36,261.69,0,0,36.84
76,4,205.60,226.20,226.70,228.20,245.76,0,0,16.52
77,2,206.10,313.99,314.49,315.99,335.84,3,3,103.01
78,1,206.12,208.59,209.09,211.59,222.17,0,1,1.80
79,0,215.47,217.03,217.53,220.03,231.39,5,4,0.63
80,0,218.20,231.39,231.89,233.39,245.43,5,5,11.02
81,1,219.06,324.50,325.00,327.50,342.21,2,1,103.34
82,0,219.27,316.15,316.65,319.15,336.31,4,5,93.94
83,1,219.59,282.76,283.26,284.76,304.14,0,0,58.46
84,3,222.93,347.29,347.79,351.29,370.40,2,4,121.75
85,2,232.20,235.84,236.34,237.84,253.36,3,3,0.26
86,3,233.27,325.42,325.92,328.42,347.29,4,5,88.62
87,3,234.89,251.14,251.64,255.14,269.68,5,3,15.22
88,4,240.80,337.41,337.91,340.41,358.63,2,1,93.30
89,4,240.86,294.33,294.83,296.33,316.29,0,0,48.55
90,4,243.70,245.76,246.26,247.76,260.24,0,0,0.00
91,1,246.92,342.21,342.71,344.21,363.34,2,2,90.67
92,2,250.09,253.36,253.86,255.36,272.00,3,3,0.00
93,4,250.71,316.29,316.79,319.29,337.41,1,0,62.31
94,1,256.06,304.14,304.64,307.14,324.50,1,0,45.07
95,2,256.07,335.84,336.34,338.84,354.05,2,3,77.51
96,0,257.58,277.62,278.12,279.62,296.21,5,5,16.30
97,4,258.64,260.24,260.74,262.24,272.99,0,0,0.00
98,2,264.48,272.00,272.50,274.00,292.55,3,3,3.10
99,3,267.91,269.68,270.18,271.68,285.19,5,5,0.00
